No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
523,Proposal kegiatan sekolah,SMKT-AD/ADM/523/2025,04 September 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
524,Notulen rapat guru,SMKT-AD/KPG/524/2025,21 June 2025,Kepegawaian,Dokumen 'Notulen rapat guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
525,Surat undangan rapat,SMKT-AD/ADM/525/2025,28 June 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
526,Laporan absensi pegawai,SMKT-AD/KPG/526/2025,02 July 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
527,Daftar siswa remedial,SMKT-AD/EVL/527/2025,06 August 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
528,Surat perintah tugas,SMKT-AD/KPG/528/2025,27 March 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
529,Formulir mutasi siswa,SMKT-AD/SW/529/2025,16 March 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
530,Rekap nilai siswa per kelas,SMKT-AD/AKD/530/2025,29 April 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
531,Daftar siswa remedial,SMKT-AD/EVL/531/2025,01 October 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
532,SK pemberhentian sementara,SMKT-AD/KPG/532/2025,21 January 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
533,Laporan hasil rapat,SMKT-AD/ADM/533/2025,16 July 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
534,Daftar mata pelajaran,SMKT-AD/AKD/534/2025,22 March 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
535,Form penilaian sikap siswa,SMKT-AD/EVL/535/2025,02 August 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
536,Rencana pengadaan barang,SMKT-AD/KUG/536/2025,25 May 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
537,Surat pemberitahuan kelulusan,SMKT-AD/SW/537/2025,16 October 2025,Siswa,Dokumen 'Surat pemberitahuan kelulusan' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
538,Laporan hasil ujian,SMKT-AD/EVL/538/2025,18 August 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
539,Laporan realisasi anggaran,SMKT-AD/KUG/539/2025,28 May 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
540,Notulen rapat,SMKT-AD/ADM/540/2025,02 January 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
541,Laporan keuangan semester,SMKT-AD/KUG/541/2025,31 August 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
542,Rencana pengadaan barang,SMKT-AD/KUG/542/2025,09 December 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
543,Proposal kegiatan sekolah,SMKT-AD/ADM/543/2025,22 September 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
544,SK pemberhentian sementara,SMKT-AD/KPG/544/2025,16 April 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
545,Surat undangan rapat,SMKT-AD/ADM/545/2025,15 June 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
546,Surat tugas panitia,SMKT-AD/ADM/546/2025,08 March 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
547,Rencana kegiatan belajar,SMKT-AD/AKD/547/2025,26 June 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
548,Surat undangan rapat,SMKT-AD/ADM/548/2025,20 March 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
549,Agenda kegiatan sekolah,SMKT-AD/ADM/549/2025,10 October 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
550,Form administrasi perizinan,SMKT-AD/ADM/550/2025,24 September 2025,Administrasi,Dokumen 'Form administrasi perizinan' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
551,Laporan pemeliharaan sarana,SMKT-AD/SRP/551/2025,12 April 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
552,Surat izin orang tua,SMKT-AD/SW/552/2025,13 March 2025,Siswa,Dokumen 'Surat izin orang tua' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
553,Rencana anggaran tahunan,SMKT-AD/KUG/553/2025,09 January 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
554,Daftar materi ajar,SMKT-AD/KUR/554/2025,04 March 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
555,Form administrasi perizinan,SMKT-AD/ADM/555/2025,04 May 2025,Administrasi,Dokumen 'Form administrasi perizinan' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
556,Laporan realisasi anggaran,SMKT-AD/KUG/556/2025,16 February 2025,Keuangan,Dokumen 'Laporan realisasi anggaran' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
557,Rekap dana BOS,SMKT-AD/KUG/557/2025,04 February 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
558,Surat tugas panitia,SMKT-AD/ADM/558/2025,28 September 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
559,Jadwal konsultasi wali kelas,SMKT-AD/SW/559/2025,12 August 2025,Siswa,Dokumen 'Jadwal konsultasi wali kelas' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
560,Jadwal konsultasi wali kelas,SMKT-AD/SW/560/2025,18 November 2025,Siswa,Dokumen 'Jadwal konsultasi wali kelas' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
561,Proposal kegiatan sekolah,SMKT-AD/ADM/561/2025,30 June 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
562,Jadwal konsultasi wali kelas,SMKT-AD/SW/562/2025,10 January 2025,Siswa,Dokumen 'Jadwal konsultasi wali kelas' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
563,Jadwal ujian akhir semester,SMKT-AD/AKD/563/2025,01 October 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
564,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/564/2025,20 December 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
565,Proposal kegiatan sekolah,SMKT-AD/ADM/565/2025,15 December 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
566,Notulen rapat,SMKT-AD/ADM/566/2025,02 March 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
567,Bukti pengeluaran kas,SMKT-AD/KUG/567/2025,29 July 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
568,Rencana pengadaan barang,SMKT-AD/KUG/568/2025,29 March 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
569,Formulir pendaftaran siswa baru,SMKT-AD/SW/569/2025,10 February 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
570,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/570/2025,13 September 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
571,Kartu ujian siswa,SMKT-AD/SW/571/2025,21 April 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
572,Bahan ajar kejuruan,SMKT-AD/KUR/572/2025,15 November 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
573,RPP mata pelajaran,SMKT-AD/KUR/573/2025,29 April 2025,Kurikulum,Dokumen 'RPP mata pelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
574,Surat pernyataan kerja sama,SMKT-AD/ADM/574/2025,17 August 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
575,Jadwal pelajaran semester genap,SMKT-AD/AKD/575/2025,24 December 2025,Akademik,Dokumen 'Jadwal pelajaran semester genap' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
576,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/576/2025,11 November 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
577,Laporan hasil wawancara siswa,SMKT-AD/EVL/577/2025,30 October 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
578,Laporan audit internal,SMKT-AD/KUG/578/2025,28 September 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
579,Rekap dana BOS,SMKT-AD/KUG/579/2025,04 September 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
580,Laporan pemeliharaan sarana,SMKT-AD/SRP/580/2025,15 August 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
581,Laporan keuangan semester,SMKT-AD/KUG/581/2025,26 December 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
582,Notulen rapat guru,SMKT-AD/KPG/582/2025,01 August 2025,Kepegawaian,Dokumen 'Notulen rapat guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
583,Daftar siswa remedial,SMKT-AD/EVL/583/2025,30 November 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
584,Form administrasi perizinan,SMKT-AD/ADM/584/2025,04 August 2025,Administrasi,Dokumen 'Form administrasi perizinan' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
585,Rekap penilaian akhir,SMKT-AD/EVL/585/2025,18 October 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
586,Kalender akademik,SMKT-AD/AKD/586/2025,20 February 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
587,Dokumen standar kompetensi lulusan,SMKT-AD/KUR/587/2025,13 July 2025,Kurikulum,Dokumen 'Dokumen standar kompetensi lulusan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
588,Surat perintah tugas,SMKT-AD/KPG/588/2025,26 August 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
589,Laporan pengadaan alat,SMKT-AD/SRP/589/2025,21 January 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
590,Laporan monitoring kegiatan,SMKT-AD/EVL/590/2025,08 November 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
591,Rencana kegiatan belajar,SMKT-AD/AKD/591/2025,26 January 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
592,Surat perintah tugas,SMKT-AD/KPG/592/2025,27 January 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
593,Agenda kegiatan sekolah,SMKT-AD/ADM/593/2025,03 March 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
594,Laporan kas harian,SMKT-AD/KUG/594/2025,02 June 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
595,Daftar guru pengajar,SMKT-AD/AKD/595/2025,23 March 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
596,Bukti pengeluaran kas,SMKT-AD/KUG/596/2025,25 April 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
597,Form penilaian sikap siswa,SMKT-AD/EVL/597/2025,26 July 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
598,SK pemberhentian sementara,SMKT-AD/KPG/598/2025,23 May 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
599,Jadwal pemakaian lab,SMKT-AD/SRP/599/2025,07 January 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
600,Program semester,SMKT-AD/KUR/600/2025,21 February 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
601,Kalender akademik,SMKT-AD/AKD/601/2025,21 November 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
602,Daftar siswa remedial,SMKT-AD/EVL/602/2025,19 June 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
603,Surat perintah tugas,SMKT-AD/KPG/603/2025,19 February 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
604,Rekap data guru dan staf,SMKT-AD/KPG/604/2025,06 November 2025,Kepegawaian,Dokumen 'Rekap data guru dan staf' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
605,Formulir cuti pegawai,SMKT-AD/KPG/605/2025,05 March 2025,Kepegawaian,Dokumen 'Formulir cuti pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
606,Kalender akademik,SMKT-AD/AKD/606/2025,17 October 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
607,Daftar mata pelajaran,SMKT-AD/AKD/607/2025,04 September 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
608,Daftar mata pelajaran,SMKT-AD/AKD/608/2025,18 November 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
609,Laporan monitoring kegiatan,SMKT-AD/EVL/609/2025,27 April 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
610,Laporan hasil rapat,SMKT-AD/ADM/610/2025,06 May 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
611,Daftar guru pengajar,SMKT-AD/AKD/611/2025,28 September 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
612,Daftar siswa remedial,SMKT-AD/EVL/612/2025,30 April 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
613,Program tahunan,SMKT-AD/KUR/613/2025,30 October 2025,Kurikulum,Dokumen 'Program tahunan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
614,Daftar inventaris,SMKT-AD/SRP/614/2025,12 July 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
615,Kartu ujian siswa,SMKT-AD/SW/615/2025,07 October 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
616,Jadwal piket guru,SMKT-AD/KPG/616/2025,20 August 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
617,Rencana pengembangan kurikulum,SMKT-AD/KUR/617/2025,24 February 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
618,Surat tugas panitia,SMKT-AD/ADM/618/2025,22 February 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
619,Notulen rapat,SMKT-AD/ADM/619/2025,30 May 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
620,Rencana pengembangan kurikulum,SMKT-AD/KUR/620/2025,25 April 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
621,Laporan kinerja tahunan,SMKT-AD/KPG/621/2025,18 May 2025,Kepegawaian,Dokumen 'Laporan kinerja tahunan' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
622,Laporan hasil rapat,SMKT-AD/ADM/622/2025,22 September 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
623,Daftar materi ajar,SMKT-AD/KUR/623/2025,23 May 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
624,Panduan penilaian,SMKT-AD/KUR/624/2025,29 January 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
625,Daftar siswa remedial,SMKT-AD/EVL/625/2025,10 August 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
626,Data sertifikasi guru,SMKT-AD/KPG/626/2025,21 June 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
627,Surat edaran sekolah,SMKT-AD/ADM/627/2025,31 October 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
628,Jadwal ujian tengah semester,SMKT-AD/AKD/628/2025,14 November 2025,Akademik,Dokumen 'Jadwal ujian tengah semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
629,Laporan hasil ujian,SMKT-AD/EVL/629/2025,09 June 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
630,Jadwal piket guru,SMKT-AD/KPG/630/2025,15 May 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
631,Rekap dana BOS,SMKT-AD/KUG/631/2025,28 October 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
632,Rekap barang masuk dan keluar,SMKT-AD/SRP/632/2025,18 November 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
633,Laporan audit internal,SMKT-AD/KUG/633/2025,09 October 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
634,Rekap dana BOS,SMKT-AD/KUG/634/2025,23 November 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
635,Surat perintah tugas,SMKT-AD/KPG/635/2025,26 March 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
636,Jadwal pemakaian lab,SMKT-AD/SRP/636/2025,16 July 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
637,Daftar siswa remedial,SMKT-AD/EVL/637/2025,08 August 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
638,Agenda kegiatan sekolah,SMKT-AD/ADM/638/2025,18 July 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
639,Surat edaran sekolah,SMKT-AD/ADM/639/2025,17 March 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
640,Jadwal pemakaian lab,SMKT-AD/SRP/640/2025,02 May 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
641,Laporan kas harian,SMKT-AD/KUG/641/2025,10 August 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
642,SK pengangkatan guru,SMKT-AD/KPG/642/2025,31 May 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
643,Formulir mutasi siswa,SMKT-AD/SW/643/2025,19 February 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
644,Laporan hasil wawancara siswa,SMKT-AD/EVL/644/2025,20 April 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
